frame,left_hand_detection_confidence,right_hand_detection_confidence,left_wrist_x,left_wrist_y,left_wrist_z,left_thumb_cmc_x,left_thumb_cmc_y,left_thumb_cmc_z,left_thumb_mcp_x,left_thumb_mcp_y,left_thumb_mcp_z,left_thumb_ip_x,left_thumb_ip_y,left_thumb_ip_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z,left_index_mcp_x,left_index_mcp_y,left_index_mcp_z,left_index_pip_x,left_index_pip_y,left_index_pip_z,left_index_dip_x,left_index_dip_y,left_index_dip_z,left_index_tip_x,left_index_tip_y,left_index_tip_z,left_middle_mcp_x,left_middle_mcp_y,left_middle_mcp_z,left_middle_pip_x,left_middle_pip_y,left_middle_pip_z,left_middle_dip_x,left_middle_dip_y,left_middle_dip_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,left_ring_mcp_x,left_ring_mcp_y,left_ring_mcp_z,left_ring_pip_x,left_ring_pip_y,left_ring_pip_z,left_ring_dip_x,left_ring_dip_y,left_ring_dip_z,left_ring_tip_x,left_ring_tip_y,left_ring_tip_z,left_pinky_mcp_x,left_pinky_mcp_y,left_pinky_mcp_z,left_pinky_pip_x,left_pinky_pip_y,left_pinky_pip_z,left_pinky_dip_x,left_pinky_dip_y,left_pinky_dip_z,left_pinky_tip_x,left_pinky_tip_y,left_pinky_tip_z,right_wrist_x,right_wrist_y,right_wrist_z,right_thumb_cmc_x,right_thumb_cmc_y,right_thumb_cmc_z,right_thumb_mcp_x,right_thumb_mcp_y,right_thumb_mcp_z,right_thumb_ip_x,right_thumb_ip_y,right_thumb_ip_z,right_thumb_tip_x,right_thumb_tip_y,right_thumb_tip_z,right_index_mcp_x,right_index_mcp_y,right_index_mcp_z,right_index_pip_x,right_index_pip_y,right_index_pip_z,right_index_dip_x,right_index_dip_y,right_index_dip_z,right_index_tip_x,right_index_tip_y,right_index_tip_z,right_middle_mcp_x,right_middle_mcp_y,right_middle_mcp_z,right_middle_pip_x,right_middle_pip_y,right_middle_pip_z,right_middle_dip_x,right_middle_dip_y,right_middle_dip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,right_ring_mcp_x,right_ring_mcp_y,right_ring_mcp_z,right_ring_pip_x,right_ring_pip_y,right_ring_pip_z,right_ring_dip_x,right_ring_dip_y,right_ring_dip_z,right_ring_tip_x,right_ring_tip_y,right_ring_tip_z,right_pinky_mcp_x,right_pinky_mcp_y,right_pinky_mcp_z,right_pinky_pip_x,right_pinky_pip_y,right_pinky_pip_z,right_pinky_dip_x,right_pinky_dip_y,right_pinky_dip_z,right_pinky_tip_x,right_pinky_tip_y,right_pinky_tip_z
0,1.0000000000,1.0000000000,0.6101797819,0.8530682921,0.0000000756,0.5842804909,0.8618318439,-0.0060801092,0.5582320690,0.8816744685,-0.0115042645,0.5364129543,0.9016777277,-0.0155955972,0.5183416009,0.9123202562,-0.0204510484,0.5753025413,0.8770617247,-0.0211834162,0.5622487664,0.9037033319,-0.0276598148,0.5570955276,0.9230507016,-0.0306255650,0.5531524420,0.9400938749,-0.0327189602,0.5943171382,0.8831636906,-0.0219716933,0.5819634199,0.9127991199,-0.0269055571,0.5756081939,0.9344484210,-0.0282713287,0.5707978010,0.9506589770,-0.0307639632,0.6119654775,0.8900662661,-0.0223677196,0.6027581692,0.9179205894,-0.0265302192,0.5959175825,0.9366250038,-0.0267773475,0.5898741484,0.9502038956,-0.0282315835,0.6279160380,0.8973391056,-0.0230528433,0.6237379909,0.9226622581,-0.0263733845,0.6194692850,0.9380701780,-0.0264878869,0.6150474548,0.9495682120,-0.0274676885,0.3727918565,0.8604621291,0.0000000714,0.3986632228,0.8664528131,-0.0116035361,0.4264760613,0.8859369755,-0.0185201354,0.4465495050,0.9049158692,-0.0233802237,0.4633670151,0.9204090238,-0.0277248230,0.4054425359,0.8845214248,-0.0251179282,0.4155874550,0.9101539254,-0.0355489627,0.4218173325,0.9301918745,-0.0402372852,0.4266656935,0.9489036202,-0.0431452245,0.3848564625,0.8909345865,-0.0249092411,0.3914299607,0.9214749932,-0.0348520055,0.3976385593,0.9456503391,-0.0390710533,0.4026650190,0.9662773609,-0.0426797308,0.3665927351,0.8973565102,-0.0249255151,0.3686380088,0.9264994860,-0.0367169157,0.3718709946,0.9495145679,-0.0407510027,0.3761428595,0.9695261717,-0.0428817831,0.3518216610,0.9028837681,-0.0252755079,0.3476150036,0.9286579490,-0.0352705047,0.3448193371,0.9463366866,-0.0384841636,0.3428702056,0.9628310800,-0.0405314900
1,1.0000000000,1.0000000000,0.6082379222,0.8508884311,0.0000001293,0.5826539397,0.8594522476,-0.0054198815,0.5580518842,0.8797314763,-0.0105009414,0.5369684100,0.8985048532,-0.0145578505,0.5184712410,0.9090368748,-0.0195704941,0.5753307939,0.8799046278,-0.0199475419,0.5627120137,0.9081705809,-0.0269122608,0.5567329526,0.9303150177,-0.0305136237,0.5523210168,0.9493745565,-0.0330892690,0.5933014154,0.8875263929,-0.0214678179,0.5804227591,0.9203720689,-0.0265266299,0.5725286603,0.9451290965,-0.0288222935,0.5668109059,0.9655307531,-0.0320079364,0.6104919910,0.8940960169,-0.0225701164,0.6000359058,0.9237282872,-0.0267219692,0.5929529667,0.9439533949,-0.0274190139,0.5869991183,0.9597011209,-0.0292441510,0.6261861920,0.8997252584,-0.0239325706,0.6213310361,0.9239046574,-0.0280042887,0.6173266172,0.9398761988,-0.0285169501,0.6140465140,0.9529243112,-0.0295577701,0.3773091733,0.8594316840,0.0000002075,0.4045638740,0.8719870448,-0.0102474289,0.4307433069,0.8926808834,-0.0167802479,0.4515105486,0.9112046957,-0.0213545915,0.4685944319,0.9261865020,-0.0256835017,0.4100426137,0.8981373906,-0.0237488337,0.4195465446,0.9319328070,-0.0336917266,0.4251215160,0.9560760260,-0.0383640602,0.4289137125,0.9773852825,-0.0412575863,0.3875543773,0.9041038156,-0.0236526635,0.3912174702,0.9401628971,-0.0327449068,0.3956038654,0.9670275450,-0.0368925184,0.3995897174,0.9894887209,-0.0404618010,0.3693168759,0.9077370167,-0.0236115493,0.3686624765,0.9405887723,-0.0343279839,0.3710138500,0.9650475383,-0.0386596024,0.3739106953,0.9856381416,-0.0411767177,0.3562722802,0.9087795615,-0.0237362795,0.3480211794,0.9349088669,-0.0335806273,0.3427444994,0.9528419971,-0.0371219441,0.3382209539,0.9692377448,-0.0391876288
2,1.0000000000,1.0000000000,0.6084290743,0.8471865058,0.0000001713,0.5812155008,0.8580341935,-0.0054009580,0.5561289787,0.8789356947,-0.0108920969,0.5351671576,0.8987814188,-0.0152657069,0.5163525343,0.9094483256,-0.0205247346,0.5745200515,0.8800069094,-0.0206969120,0.5618462563,0.9102380276,-0.0279588122,0.5556788445,0.9320816994,-0.0314428844,0.5507279634,0.9511564374,-0.0337129161,0.5923513174,0.8865671158,-0.0220577735,0.5793722868,0.9225268364,-0.0275537279,0.5714601874,0.9479663968,-0.0295782089,0.5655693412,0.9686464667,-0.0322357044,0.6096813083,0.8924481273,-0.0229508914,0.5990540385,0.9239346981,-0.0274167415,0.5920200348,0.9452477098,-0.0282213707,0.5861787796,0.9615360498,-0.0297677685,0.6256434321,0.8976482749,-0.0240474157,0.6207948327,0.9234810472,-0.0278766658,0.6164361835,0.9398847222,-0.0283690989,0.6124640107,0.9527654648,-0.0292420499,0.3775454462,0.8646451831,0.0000001726,0.4057927132,0.8737190962,-0.0106437122,0.4322817624,0.8919546604,-0.0185109712,0.4523091912,0.9109356403,-0.0245246086,0.4677650928,0.9289463162,-0.0303603597,0.4097123742,0.9029128551,-0.0264167450,0.4195421636,0.9374289513,-0.0370611362,0.4253351390,0.9627931714,-0.0419700854,0.4290587008,0.9849072099,-0.0449781716,0.3872018754,0.9095966220,-0.0265770182,0.3904366791,0.9472296238,-0.0359086506,0.3937414885,0.9745281935,-0.0393228084,0.3962384462,0.9978813529,-0.0424968414,0.3691012263,0.9135475755,-0.0267774779,0.3672303557,0.9469432235,-0.0374861471,0.3685109615,0.9714346528,-0.0408590585,0.3703954220,0.9922789931,-0.0428918786,0.3556565344,0.9142683148,-0.0272394661,0.3468492329,0.9397801161,-0.0370883271,0.3406907618,0.9568116069,-0.0401097909,0.3359765708,0.9723246098,-0.0418589339
3,1.0000000000,1.0000000000,0.6089830399,0.8456178308,0.0000001681,0.5817193985,0.8562989831,-0.0055831280,0.5563892722,0.8774228096,-0.0109151946,0.5351254344,0.8971908092,-0.0151172373,0.5162500143,0.9079461098,-0.0201494619,0.5741163492,0.8808303475,-0.0196631104,0.5615461469,0.9105250835,-0.0266143084,0.5556716323,0.9321978688,-0.0300144684,0.5510654449,0.9513121843,-0.0322852954,0.5915530324,0.8879228234,-0.0208339971,0.5783694386,0.9234649539,-0.0260658003,0.5703877211,0.9489074349,-0.0280212834,0.5645421147,0.9698774815,-0.0305566601,0.6086891890,0.8935595751,-0.0216295589,0.5982109308,0.9245340228,-0.0260081775,0.5907618403,0.9452127218,-0.0267812349,0.5845200419,0.9611659050,-0.0282250866,0.6247012019,0.8980383873,-0.0226721521,0.6199333668,0.9235820770,-0.0266270079,0.6157132387,0.9399736524,-0.0272501279,0.6119203568,0.9530676603,-0.0281384122,0.3778375685,0.8642540574,0.0000001305,0.4058858454,0.8733242154,-0.0104448935,0.4326414764,0.8926616311,-0.0182160195,0.4524322450,0.9114914536,-0.0241867714,0.4681288302,0.9290593863,-0.0299656522,0.4100211859,0.9035000205,-0.0246724598,0.4189082086,0.9340770245,-0.0343985781,0.4241050184,0.9578906894,-0.0388881601,0.4278627336,0.9786068797,-0.0418201536,0.3875981867,0.9086077213,-0.0249768216,0.3888375759,0.9445609450,-0.0334575921,0.3915490508,0.9691634774,-0.0363066308,0.3943918943,0.9906206727,-0.0392308347,0.3692988157,0.9113513827,-0.0254345033,0.3660013080,0.9454808831,-0.0358692519,0.3659547567,0.9689175487,-0.0386611857,0.3673158586,0.9895775914,-0.0403875411,0.3554402590,0.9113498926,-0.0261307098,0.3457521796,0.9377217293,-0.0355203077,0.3388901949,0.9543276429,-0.0380101353,0.3339298666,0.9698067904,-0.0395749211
4,1.0000000000,1.0000000000,0.6084262729,0.8463573456,0.0000001711,0.5814858079,0.8571721911,-0.0057187593,0.5558646321,0.8785524368,-0.0113204597,0.5346645713,0.8973877430,-0.0157479867,0.5155444741,0.9070703387,-0.0210882593,0.5728345513,0.8813359141,-0.0206414945,0.5608659387,0.9123923779,-0.0278843213,0.5550931096,0.9345218539,-0.0313906223,0.5504490733,0.9537845254,-0.0336709879,0.5904322863,0.8872532845,-0.0220104512,0.5778512955,0.9236090183,-0.0272864308,0.5699410439,0.9486314058,-0.0292439349,0.5637273788,0.9692994356,-0.0318714827,0.6077610850,0.8923271894,-0.0229724888,0.5969477892,0.9239003658,-0.0272968505,0.5896512270,0.9452700019,-0.0280264411,0.5833552480,0.9619023204,-0.0295594260,0.6241474152,0.8969008923,-0.0241819229,0.6192328334,0.9229572415,-0.0279864669,0.6144755483,0.9391861558,-0.0283527151,0.6099785566,0.9518864155,-0.0291418489,0.3777073920,0.8658297658,0.0000001185,0.4058371186,0.8752940893,-0.0091420216,0.4329502881,0.8949484229,-0.0157685746,0.4527311325,0.9126579165,-0.0211515427,0.4685285687,0.9297007918,-0.0264665037,0.4099078476,0.9066397548,-0.0203135498,0.4187909663,0.9323462248,-0.0289377552,0.4234575629,0.9528084397,-0.0332270265,0.4266538024,0.9724153280,-0.0362489559,0.3874880373,0.9128895402,-0.0213534515,0.3888531029,0.9457409978,-0.0288870558,0.3906483948,0.9689593315,-0.0321695544,0.3921482265,0.9905562401,-0.0356248207,0.3687425852,0.9160591364,-0.0226675421,0.3653790057,0.9459239244,-0.0329419374,0.3636734188,0.9679671526,-0.0363627337,0.3631252944,0.9887762070,-0.0386123471,0.3543505669,0.9157856703,-0.0241490919,0.3453028798,0.9392597079,-0.0332863480,0.3380789459,0.9545335770,-0.0358345434,0.3322207630,0.9695140123,-0.0376324840
5,1.0000000000,1.0000000000,0.6085146070,0.8455071449,0.0000001681,0.5816145539,0.8561941981,-0.0053441348,0.5562045574,0.8779315948,-0.0110534718,0.5349399447,0.8971991539,-0.0155981220,0.5159369707,0.9075411558,-0.0210493263,0.5720550418,0.8798573017,-0.0214636419,0.5600210428,0.9143412709,-0.0286486633,0.5543928146,0.9380185008,-0.0317927562,0.5502145886,0.9577845335,-0.0337488316,0.5900368690,0.8858522773,-0.0228769034,0.5770926476,0.9235665202,-0.0281716101,0.5689446926,0.9493223429,-0.0299483556,0.5630146265,0.9690809846,-0.0323588774,0.6077341437,0.8911753893,-0.0237381328,0.5968705416,0.9237875342,-0.0277883578,0.5894262791,0.9453213215,-0.0284270998,0.5833733678,0.9609948993,-0.0299220476,0.6242147088,0.8961864710,-0.0247741863,0.6190484166,0.9225847721,-0.0285974722,0.6147543788,0.9390298724,-0.0290726926,0.6112046242,0.9516223669,-0.0298262220,0.3793902695,0.8686202168,0.0000001682,0.4067751169,0.8776319623,-0.0108555062,0.4323756695,0.8952816129,-0.0191406496,0.4515753984,0.9138039351,-0.0254843850,0.4665403664,0.9319237471,-0.0317968912,0.4086962044,0.9092434049,-0.0269308891,0.4194286168,0.9451354742,-0.0367016010,0.4252487123,0.9705291390,-0.0410410948,0.4288475513,0.9921072125,-0.0438275225,0.3861680925,0.9153202772,-0.0272448212,0.3885639608,0.9548531771,-0.0359823667,0.3907653987,0.9814572334,-0.0394350030,0.3914533854,1.0044091940,-0.0428099968,0.3680889010,0.9183446765,-0.0274775401,0.3645897806,0.9560790062,-0.0378885195,0.3627985418,0.9833742976,-0.0418980047,0.3609520197,1.0067549944,-0.0448163822,0.3548820913,0.9181423187,-0.0278895013,0.3440656066,0.9430601001,-0.0381720178,0.3359542787,0.9596695304,-0.0414123908,0.3290541768,0.9750360250,-0.0434351228
6,1.0000000000,1.0000000000,0.6076472998,0.8467504382,0.0000001742,0.5809049606,0.8579419851,-0.0051171836,0.5556473136,0.8793990016,-0.0108120181,0.5345185995,0.8975760937,-0.0154218320,0.5155667067,0.9074823856,-0.0211112220,0.5713258982,0.8819111586,-0.0216926765,0.5588124394,0.9170624018,-0.0291714817,0.5529891849,0.9404016137,-0.0325123183,0.5489654541,0.9599850774,-0.0345654041,0.5891028643,0.8872600794,-0.0235085208,0.5760265589,0.9257469177,-0.0290403143,0.5678669810,0.9513501525,-0.0311313644,0.5621678829,0.9712229967,-0.0337557904,0.6072146893,0.8915187120,-0.0247458816,0.5963490605,0.9245222211,-0.0291799363,0.5884376764,0.9464609623,-0.0302724019,0.5821497440,0.9628443122,-0.0320820473,0.6243982315,0.8954223990,-0.0260905679,0.6186330914,0.9219498634,-0.0304815061,0.6139458418,0.9388856292,-0.0312493891,0.6103786826,0.9523305893,-0.0321877748,0.3796967864,0.8668467402,0.0000000861,0.4087313712,0.8739184141,-0.0089995656,0.4362200797,0.8914380670,-0.0163324308,0.4549084902,0.9101212621,-0.0225888528,0.4689842463,0.9276179671,-0.0289898999,0.4127401710,0.9034017920,-0.0226441640,0.4215176702,0.9320235848,-0.0320356004,0.4268561900,0.9543244243,-0.0368083864,0.4305433631,0.9742898941,-0.0401517525,0.3922781646,0.9098432660,-0.0240873676,0.3953398168,0.9445630312,-0.0320811048,0.3980431259,0.9690653682,-0.0350911170,0.3997295499,0.9902309179,-0.0384819433,0.3745629191,0.9138721228,-0.0257267226,0.3724509180,0.9462975264,-0.0358650200,0.3721696436,0.9692381620,-0.0391321518,0.3724854290,0.9892473221,-0.0415818319,0.3598098159,0.9144920707,-0.0276476853,0.3498036265,0.9389281273,-0.0371479243,0.3419796526,0.9546991587,-0.0401501581,0.3354316652,0.9687833190,-0.0423493609
7,1.0000000000,1.0000000000,0.6081168056,0.8450840116,0.0000001799,0.5813328624,0.8565817475,-0.0055158283,0.5554329157,0.8785923123,-0.0113835642,0.5338178873,0.8973388076,-0.0159302484,0.5146663785,0.9078564644,-0.0215201806,0.5710846186,0.8809867501,-0.0228550341,0.5581676364,0.9152871370,-0.0306224246,0.5519228578,0.9392505288,-0.0340007320,0.5476843715,0.9593149424,-0.0359975100,0.5886899829,0.8871067166,-0.0245082118,0.5746173263,0.9264601469,-0.0302022975,0.5663209558,0.9531432390,-0.0322288051,0.5606735945,0.9737228751,-0.0347588062,0.6064836383,0.8923751116,-0.0255754068,0.5942559838,0.9268133044,-0.0300412234,0.5857830048,0.9499978423,-0.0312182754,0.5790761709,0.9670050740,-0.0330208056,0.6235013604,0.8973652720,-0.0267628282,0.6174461842,0.9267197847,-0.0310767107,0.6120971441,0.9447076917,-0.0318950713,0.6076216102,0.9582125545,-0.0328377783,0.3861248791,0.8620799780,0.0000001248,0.4150052071,0.8696274757,-0.0079601984,0.4436242282,0.8865395188,-0.0138462875,0.4629151225,0.9043241143,-0.0187865235,0.4772597551,0.9223708510,-0.0235751662,0.4261772037,0.8940494061,-0.0189733505,0.4385327995,0.9219275713,-0.0283834599,0.4442001283,0.9446983933,-0.0330661163,0.4480439723,0.9649482965,-0.0362008028,0.4053638577,0.9022426009,-0.0208754484,0.4140099287,0.9370534420,-0.0289551821,0.4191748500,0.9620562196,-0.0324623436,0.4231710732,0.9840292335,-0.0358806215,0.3862346709,0.9085006714,-0.0231492668,0.3909947872,0.9424360991,-0.0331282914,0.3944846094,0.9669082165,-0.0365776643,0.3986894190,0.9884556532,-0.0390077606,0.3691122234,0.9115925431,-0.0256394036,0.3651989102,0.9372830391,-0.0348375663,0.3620265424,0.9544956088,-0.0376163498,0.3602380157,0.9708516002,-0.0395936519
8,1.0000000000,1.0000000000,0.6065209508,0.8494062424,0.0000001859,0.5793606639,0.8603377938,-0.0053183143,0.5541472435,0.8805285096,-0.0109866960,0.5329800844,0.8982746005,-0.0154903987,0.5146424770,0.9092297554,-0.0209749602,0.5700477362,0.8825496435,-0.0213263929,0.5567439795,0.9164507389,-0.0289147068,0.5503016114,0.9403828382,-0.0324709043,0.5459211469,0.9607767463,-0.0346065946,0.5876450539,0.8882542849,-0.0230765603,0.5732141733,0.9263019562,-0.0288108960,0.5648884773,0.9531841874,-0.0310960561,0.5594588518,0.9742640257,-0.0337941162,0.6055806875,0.8937736750,-0.0243420433,0.5933039188,0.9266738296,-0.0290237684,0.5847187042,0.9500665069,-0.0304597542,0.5781626701,0.9674563408,-0.0323108546,0.6227651834,0.8997540474,-0.0257388540,0.6157313585,0.9281054139,-0.0301377531,0.6099035740,0.9462015033,-0.0310629383,0.6051586270,0.9599002004,-0.0320565253,0.3943361044,0.8594158292,0.0000002081,0.4220111966,0.8682079911,-0.0079474440,0.4515257180,0.8831045628,-0.0134038096,0.4725354612,0.8983821869,-0.0176621415,0.4879221618,0.9154312015,-0.0213410221,0.4390566051,0.8862161636,-0.0190770533,0.4561886787,0.9180788398,-0.0291771647,0.4643733203,0.9417455196,-0.0340759642,0.4699629247,0.9631954432,-0.0371722206,0.4191394448,0.8951519132,-0.0205068141,0.4319123924,0.9305689931,-0.0300727822,0.4390133619,0.9577834606,-0.0343908705,0.4442554414,0.9810822606,-0.0376696661,0.3989340067,0.9032528400,-0.0222013779,0.4082438350,0.9356824160,-0.0326742828,0.4144582450,0.9605312943,-0.0363005698,0.4207679033,0.9817762375,-0.0381945819,0.3804993331,0.9099966884,-0.0240668207,0.3804028332,0.9360045195,-0.0333690643,0.3812768161,0.9546842575,-0.0364296362,0.3830360174,0.9726897478,-0.0380787849
9,1.0000000000,1.0000000000,0.6063746214,0.8485630155,0.0000001685,0.5793907642,0.8589488864,-0.0048461501,0.5540997982,0.8787838817,-0.0102367569,0.5333957672,0.8967665434,-0.0145601528,0.5158057213,0.9081845880,-0.0198761877,0.5690146089,0.8825426102,-0.0212464016,0.5557827353,0.9161474109,-0.0290048439,0.5493929982,0.9398490787,-0.0325538628,0.5452619195,0.9598997831,-0.0346445404,0.5867149234,0.8886682391,-0.0232674386,0.5727736950,0.9266936183,-0.0293050148,0.5645394325,0.9530267119,-0.0315930843,0.5590631962,0.9735966921,-0.0342086554,0.6046292186,0.8941837549,-0.0247601047,0.5926324129,0.9267337322,-0.0296258479,0.5839207768,0.9498025775,-0.0309328176,0.5769300461,0.9670881033,-0.0326678082,0.6218603253,0.8997884989,-0.0263448898,0.6145455837,0.9277837873,-0.0309489276,0.6085343957,0.9458301067,-0.0318353735,0.6035661697,0.9599363208,-0.0327472016,0.4039031267,0.8579761982,0.0000002794,0.4318383932,0.8671916723,-0.0071902997,0.4612454772,0.8804252744,-0.0128651522,0.4829058349,0.8945942521,-0.0172131695,0.4999450147,0.9069472551,-0.0209903717,0.4526183605,0.8838359714,-0.0199030638,0.4739996195,0.9145432115,-0.0316409208,0.4830797017,0.9402868152,-0.0381596871,0.4886220098,0.9632538557,-0.0422393642,0.4343010783,0.8953614831,-0.0216550902,0.4499921203,0.9291216731,-0.0325519890,0.4577630162,0.9565187097,-0.0380610675,0.4635416567,0.9792889357,-0.0418896042,0.4140787721,0.9052413106,-0.0234619807,0.4257237315,0.9338434339,-0.0344230235,0.4337398112,0.9565792084,-0.0386225395,0.4409831464,0.9754843712,-0.0408216156,0.3947359324,0.9128742218,-0.0253023077,0.3969564438,0.9363275766,-0.0351368338,0.3994137943,0.9533462524,-0.0384136625,0.4022087753,0.9703676105,-0.0399245694
